사업코드,시군구읍면동 명칭,공사시 생활폐기물 발생량,운영시 생활폐기물 발생량,생활폐기물 발생량,건설폐기물 처리현황_매립,건설폐기물 처리현황_소각,건설폐기물 처리현황_재활용,사업장배출시설계 폐기물의 처리 현황_매립,사업장배출시설계 폐기물의 처리 현황_소각,사업장배출시설계 폐기물의 처리 현황_재활용,사업장배출시설계 폐기물의 처리 현황_해역배출,사업장 지정 폐기물의 처리 현황_매립,사업장 지정 폐기물의 처리 현황_소각,사업장 지정 폐기물의 처리 현황_재활용,사업장 지정 폐기물의 처리 현황_기타,생성일,수정일,사용여부
YS2008A008,하동군,49.6,15187,32400,0.6,0.2,234,,,,,,9.9,142.8,,,,Y
ME2009A042,부천시,129.1,22500,889200,9.4,14.8,572.1,21.5,20.6,465.7,20.3,,,,,,,Y
ND2008A009,마산시,127.21,26969,559400,,,852.02,44.6,21.1,160.4,121,,,,,,,Y
ME2009A043,남양주시,116.8,52900,347500,0.6,0.1,806.9,,,,,,,,,,,Y
ME2009A041,시흥시,54.6,41600,314200,18,2.2,519.7,,,,,,,,,,,Y
ME2010A006,광명시,90.9,342000,278800,0,1.8,229.5,,,,,,,,,,,Y
ME2010A006,시흥시,90.9,342000,272500,9.9,1.5,588.8,,,,,,,,,,,Y
HG2008A001,평택시,93.5,214340,349400,5.8,30,1605.3,154.6,119.8,310.3,51.7,,,,,,,Y
ME2008A078,화성시,42.3,135.79,323300,13.1,22,3818.5,741,91.7,1035.1,10.8,,,,,,,Y
ME2008A078,용인시,42.3,135.79,825000,0,4.8,2219.4,144.3,215.8,790,3.2,,,,,,,Y
ME2008A078,광주시,42.3,135.79,271200,4,0.6,700.2,48.8,33.4,134.2,0,,,,,,,Y
JJ2010A001,군산시,72.06,21166.28,252200,4.4,2.1,1399.5,,,,,34.8,464.5,,,,,Y
HG2007A016,안성시,120.9,11860,329800,5.6,27.3,795.9,,,,,948.2,2037.3,5588.6,422.1,,,Y
ME2009A044,남양주시,114.2,37810,418500,25.6,8.1,1264.5,,,,,,,,,,,Y
ND2009A002,기장군,38.8,14330,79800,1.1,8.3,707.1,,,,,,,,,,,Y
ND2012A003,울산광역시,13.28,15.77,1114100,22.5,76.6,4400.7,,,,,,,,,,,Y
ND2012A003,북구,13.28,15.77,144300,7.3,7.3,601.6,,,,,,,,,,,Y
ME2011A004,과천시,159,19210,79800,3.2,0.3,97.9,,,,,,,,,,,Y
ME2008A081,파주시,142.2,78926,371600,,,,,,,,,,,,,,Y
ND2007A007,김해시,147.2,13590,501600,0,0.3,1235.4,,,,,,,,,,,Y
JJ2013A001,전주시,154.85,25997.6,616300,0.3,5,1387.8,162.2,969.6,318.8,0,,,,,,,Y
ME2009A007,화성시,19.5,9960,327400,14.4,52.3,3575.9,172.5,24.7,684.8,34.6,,,,,,,Y
ND2014A002,울주군,56.28,4611.46,205800,,,,2.8,166.7,281.6,432.9,,,,,,,Y
ND2014A006,창원시,60,28093.2,1299800,6.2,6.9,3545.7,414.7,107,1904.7,19.1,38341.3,280139.6,72196,1292.4,,,Y
ME2014A002,하남시,84.7,4208,136000,3,41.6,1772.3,4.6,12.3,16.5,,2510.1,338.9,489.9,751.7,,,Y
DG2014A001,경주시,42.1,6005.4,277400,,,,,,,,,,,,,,Y
ME2015A013,화성시,42.3,135.79,323300,13.1,22,3818.5,741,91.7,1035.1,10.8,,,,,,,Y
ME2015A013,용인시,42.3,135.79,825000,0,4.8,2219.4,144.3,215.8,790,3.2,,,,,,,Y
ME2015A013,광주시,42.3,135.79,271200,4,0.6,700.2,48.8,33.4,134.2,0,,,,,,,Y
HG2007B002,파주시,85.84,0,260300,289.9,24.4,1704.9,101.5,12.1,102.9,49.2,64.1,1169.8,2120.9,461.7,,,Y
DG2007B002,대구광역시,255.2,11760.228,2635000,6.1,19.7,5630.8,236.4,138.2,680.8,1392.1,10433.1,6810.9,49080,,,,Y
DG2007B002,달성군,255.2,11760.228,217700,1.3,4.5,508.7,63.9,131.7,385.3,116.4,,,,,,,Y
GG2007B004,당진군,47.12,6210,92100,,,,,,,,,,,,,,Y
ND2008B030,통영시,148.32,2420,135600,,,,28.5,14.3,61.6,8.6,11.6,1157.8,692.6,0.5,,,Y
YS2007B001,광양시,238.1,11404.7,132600,40.1,3.3,667,86.4,39.3,11044.2,12.9,,,,,,,Y
ND2007B011,고성군,69.7,383715,30900,,,,,,,,,,,,,,Y
ND2007B003,울산광역시,55,920,1071500,12,63.4,2890.2,710.5,241.6,2787.5,1410.9,,,,,,,Y
ND2007B003,북구,55,920,114200,2.3,5.1,275.6,7.1,47.4,826,35.4,,,,,,,Y
JJ2008B002,전주시,99.2,994,573500,37.9,0.4,708.8,108.1,72.9,1342.7,4.7,,,,,,,Y
GG2008B005,청원군,67.49,134899.36,161600,,31.9,733.8,559.4,305.3,412.5,29.1,1123.4,4423.7,9384.8,938.4,,,Y
GG2008B009,천안시,59.6,10343,834800,,,,,,,,,,,,,,Y
YS2008B004,광주광역시,107.53,12287,1478400,0.6,39.9,2797.3,103.4,143.8,79.1,212.8,,,,,,,Y
HG2007B005,인천광역시 서구,51.7,3130,365000,42.3,4.3,687.4,,,,,,,,,,,Y
ND2008B014,함양군,86.84,952.2,27800,0.1,,128.5,1.9,1.1,21.5,2.1,0,16.69,9.4,0,,,Y
ME2008B004,울산광역시,148.5,2647.9,1076400,94.9,49.5,4700.9,383500,233400,750300,2044600,,,,,,,Y
ME2008B004,북구,148.5,2647.9,130900,,,,,,,,7122.5,950.8,14741.8,76.8,,,Y
GG2007B002,당진군,40.5,95730,92100,0.6,5.9,363.2,883.7,66.2,3708.3,8.8,39285.9,3611.6,16557,509.1,,,Y
JJ2008B007,김제시,58.9,18400,108200,0,0.3,456,2.1,20,74.2,8.3,,,,,,,Y
GG2007B006,유성구,84.5,28000,60300,,,,,,,,,,,,,,Y
GG2008B001,공주시,189.5,4884,119600,,2.3,585.5,2.3,2.6,19.7,1.6,,134.4,63.2,,,,Y
ND2008B009,울산광역시,83,3822,1076400,94.9,49.6,4700.9,383.5,233.4,750.3,2044.6,26148.7,85899.1,123048.6,7319.6,,,Y
ND2008B009,울주군,83,3822,177200,1.2,6.8,875.8,41.4,28.1,27.3,1340,23639.3,6885.8,23684.1,1367.2,,,Y
ND2008B007,양산시,46,2222.4,208700,5,4.7,843.3,,,,,,,,,,,Y
GG2008B004,당진군,156.6,0,83200,0,16.3,975.4,52.9,27.7,1610.5,9.8,35834.1,3084.6,15960.1,915.6,,,Y
JJ2009B003,부안군,24.4,1093.5,49800,0.8,1.9,334.9,3.2,0.6,2.1,5.1,,18.4,112.8,,,,Y
YS2009B005,목포시,161.2,6146.1,301700,4.9,9.4,634.8,16.6,1.6,26.5,41.2,0,331.9,1255.3,0,,,Y
HG2008B004,평택시,77.35,42660,349400,5.8,30,1605.3,154.6,119.8,310.3,51.7,,,,,,,Y
ND2009B017,부산광역시,63.24,3930,3563100,49.2,24.1,9384.4,529.1,238.3,1755.7,614,,,,,,,Y
ND2009B017,기장군,63.24,3930,81800,0.1,4.1,612.8,4.5,11.1,16.5,4.8,211.3,1618,962.7,124.5,,,Y
ND2009B009,통영시,64.5,4640,116100,0.1,0.8,426.8,16.1,13.1,57,10.8,417.6,974.9,1225.1,10.5,,,Y
DG2009L001,영양군,5.94,7.92,11700,,,,,,,,,,,,,,Y
DG2009L001,영덕군,5.94,7.92,31100,,,,,,,,,,,,,,Y
ND2009B015,밀양시,111.69,795,123300,,0.4,376.9,19.5,20.7,29.7,18,3.2,174.7,1485.2,,,,Y
ND2009B016,거창군,4.2,106.8,53700,7.6,,129.4,,0.9,21.3,5.1,,,,,,,Y
ME2009B001,달성군,111.78,13098,224100,,3.7,784.7,109.9,5.7,546.4,79.1,571.8,4433.9,31995.1,644.6,,,Y
GG2008B010,진천군,77.2,11060,71000,0.1,0.1,224.3,14.6,13.7,132.7,26.2,,,,,,,Y
ME2009B002,구미시,114.8,78970,303400,27,11.2,1656.3,163.9,37,590.2,150.6,,,,,,,Y
ND2008B017,울산광역시,111.18,1401.2,1076400,94.9,49.6,4700.9,383.5,233.4,750.3,2044.6,26148.7,85899.1,123048.6,7319.6,,,Y
ND2008B017,울주군,111.18,1401.2,177200,1.2,6.8,875.8,41.3,28.1,27.3,1340,23639.3,6885.8,23684.1,1367.2,,,Y
GG2008B014,영동군,71,599,32500,,0.3,160.1,,21.2,5.4,,,,,,,,Y
GG2008B015,옥천군,23.4,919,35900,,0.2,380.2,3.4,4.1,157.3,6.7,10.3,368.3,543.5,3.6,,,Y
